Date,Last Price_PSEI,Change Percent_PSEI,Last Price_PHP_USD,Change_PHP_USD,Change Percent_PHP_USD,Inflation_Rate,Interest_Rate,Last_Price_PSEI_Lag1,Last_Price_PSEI_Lag2,Change_x_Per_Inflation,Log_Volume,Log_Trade,Log_Share,Log_Net_Foreign
2025-01-22,6348.34,0.13,58.54,0.19,0.33,2.3,6.0,6340.21,6299.67,18.699,22.26656394708964,10.86877795044219,6.76078542189077,-19.81754405889521
2025-01-23,6378.86,0.48,58.66,0.12,0.2,2.3,6.0,6348.34,6330.46,70.196,22.13181080724562,10.832714252818556,6.808155913759382,-18.912812731384317
2025-01-24,6296.2,-1.3,58.307,-0.353,-0.6,2.3,6.0,6378.86,6265.52,-190.11799999999997,22.279302972864368,10.660336967143055,0.7608058290337599,-20.83659452314627
2025-01-28,6153.47,-0.7,58.49,0.14,0.24,2.3,6.0,6196.88,6349.89,-99.84299999999999,22.453149902633683,10.934552353218534,0.928219302739429,19.110422136394536
2025-01-31,5862.59,-4.01,58.411,0.11,0.19,2.3,6.0,6107.66,6378.86,-563.661,23.79642200751148,11.334767229514153,1.0152306797290584,20.202760180809992
2025-02-04,6089.06,3.5,58.0,-0.48,-0.82,2.3,6.0,5883.04,6196.88,473.846,22.717966150307213,11.286037411751035,6.5531781331255505,17.678343340210052
2025-02-05,6281.08,3.15,57.883,-0.117,-0.2,2.3,6.0,6089.06,6153.47,441.646,22.73816885762201,11.293412813952333,6.51431261085119,19.59915111094337
2025-02-07,6154.99,-1.39,58.11,0.01,0.02,2.3,6.0,6241.97,6107.66,-200.054,22.52497563719265,11.008098480007638,6.111289940176331,19.8162568981474
2025-02-11,5987.75,-0.82,58.138,0.027,0.05,2.3,6.0,6037.12,5883.04,-113.55099999999999,22.484566098861578,11.080001797565458,6.173681931809546,-20.30042056653301
2025-02-12,6044.13,0.94,57.96,-0.18,-0.31,2.3,6.0,5987.75,6089.06,129.674,22.489707498361117,11.047885496353372,6.282005030408244,-19.936928230515463
2025-02-13,6113.19,1.14,57.857,-0.103,-0.18,2.3,6.0,6044.13,6281.08,158.838,22.52827053308896,11.244797622953609,6.716546346198273,-19.72749890627726
2025-02-14,6061.33,-0.85,57.728,-0.129,-0.22,2.3,6.0,6113.19,6241.97,-119.27799999999999,22.38149391374042,10.929905421655752,6.295819353847015,-20.176156517831423
2025-02-18,6094.96,1.69,58.16,0.14,0.25,2.3,6.0,5993.48,6037.12,233.404,22.56381547050263,10.93133754807084,0.7227059828014898,-19.1126272089418
2025-02-19,6119.88,0.41,58.11,-0.05,-0.09,2.3,6.0,6094.96,5987.75,57.316,22.368070893410852,11.200007632450186,0.8796267475025636,-20.06043445552869
2025-02-20,6066.63,-0.87,57.928,-0.182,-0.31,2.3,6.0,6119.88,6044.13,-122.475,22.467234642512942,11.19521021111023,0.7884573603642703,-20.21460453767286
2025-02-21,6098.04,0.52,57.872,-0.056,-0.1,2.3,6.0,6066.63,6113.19,72.243,22.272953745187053,11.016183532134377,0.9895411936137477,-19.86378068125565
2025-02-25,6064.16,-0.52,57.88,0.0,0.0,2.3,6.0,6095.97,5993.48,-73.163,22.366138525660173,11.123299256606082,6.45467956075705,-20.150210138417965
2025-02-26,6144.96,1.33,57.882,0.002,0.0,2.3,6.0,6064.16,6094.96,185.83999999999997,22.392857672388583,11.216686889835326,6.149151822943575,18.928281178382043
2025-02-27,6124.09,-0.34,57.99,0.11,0.19,2.3,6.0,6144.96,6119.88,-48.001,22.57172065000849,11.0916510456553,6.283854271159006,-19.725846393952057
2025-02-28,5997.97,-2.06,57.952,-0.038,-0.07,2.3,6.0,6124.09,6066.63,-290.07599999999996,23.750012164078043,11.45318607621936,0.7466879474879753,-21.955826098415805
2025-03-04,6064.11,0.45,57.558,-0.14,-0.24,2.3,6.0,6037.19,6095.97,61.916,22.68195117763149,11.105573578013793,6.811893947321527,-19.400246703094304
2025-03-05,6121.77,0.95,57.298,-0.26,-0.45,2.3,6.0,6064.11,6064.16,132.618,22.717966150307213,11.293412813952333,6.37913900254092,-18.479138322956118
2025-03-06,6219.96,1.6,57.312,0.014,0.02,2.3,6.0,6121.77,6144.96,225.837,22.651884489037013,11.173402579849062,6.448936861374701,19.582205235143547
2025-03-07,6298.29,1.26,57.457,0.145,0.25,2.3,6.0,6219.96,6124.09,180.159,22.568566073260474,11.032160135800446,6.271101846976656,18.883470924975047
2025-03-11,6206.55,-2.42,57.193,-0.26,-0.45,2.3,6.0,6360.77,6037.19,-354.70599999999996,22.76578402465135,11.443478919160071,6.626254065605437,-19.674243395473155
2025-03-12,6195.26,-0.18,57.365,0.172,0.3,2.3,6.0,6206.55,6064.11,-25.966999999999995,22.511686405076176,11.128894006259427,6.61007674127968,14.778685257416596
2025-03-13,6242.07,0.76,57.339,-0.026,-0.05,2.3,6.0,6195.26,6121.77,107.663,22.454921382281753,11.042777825355497,0.712949807856125,19.893382135106048
2025-03-14,6294.11,0.83,57.241,-0.098,-0.17,2.3,6.0,6242.07,6219.96,119.692,22.566985045263404,11.069150828453848,6.667808846630704,19.715818788768992
2025-03-18,6284.68,-0.34,57.269,-0.017,-0.03,2.3,6.0,6306.19,6360.77,-49.473,22.859796345728437,11.138392002730184,0.8329091229351039,19.636068156059505
2025-03-19,6313.12,0.45,57.221,-0.048,-0.08,2.3,6.0,6284.68,6206.55,65.41199999999999,22.78250467143628,10.952401765007385,6.874591386203703,19.787333467366558
2025-03-20,6323.13,0.16,57.19,-0.03,-0.05,2.3,6.0,6313.12,6195.26,23.022999999999996,22.446032434866087,10.920365425621668,0.7227059828014898,18.932485893825984
2025-03-21,6266.75,-0.89,57.324,0.134,0.23,2.3,6.0,6323.13,6242.07,-129.674,23.18881975830356,11.151108753342497,0.9477893989335261,20.76248655106123
2025-03-25,6159.85,-0.52,57.54,0.25,0.43,2.3,6.0,6192.02,6306.19,-73.991,22.28141045520349,10.998443163700694,6.256881838649521,-20.219928772133713
2025-03-26,6166.05,0.1,57.73,0.19,0.33,2.3,6.0,6159.85,6284.68,14.26,22.314539778956508,10.954676242858241,0.7227059828014898,-20.72326583794641
2025-03-27,6139.51,-0.43,57.379,-0.351,-0.61,2.3,6.0,6166.05,6313.12,-61.041999999999994,22.227343233944907,10.95729422815692,6.7207869426112,-19.05094137678165
2025-03-28,6147.44,0.13,57.37,-0.01,-0.02,2.3,6.0,6139.51,6323.13,18.238999999999997,21.949978128535093,10.694691138568423,0.9321640810304452,18.06885119922677
2025-04-03,6145.73,-1.63,57.007,-0.214,-0.37,2.3,6.0,6247.68,6166.05,-234.48499999999999,22.253660542256508,10.87504268351396,0.8544153281560676,-18.431620693881896
2025-04-04,6084.19,-1.0,57.411,0.404,0.71,2.3,6.0,6145.73,6139.51,-141.54199999999997,23.18199961251593,10.881456468681893,1.000631880307906,-20.420145202159517
